Stats:
	Average	[0.0316097]
	Folder	[mesh060]
	Guessed	[1]
	ObjFn	[0]
	PerSampleErrors	[0.002565, 0.0222823, 0, 0.031423, 0.0334496, 0.0264494, 0.074303, 0.0237278, 0.0288792, 0, 0.0574395, 0.0278606, 0.0370532, 0.00868996, 0.0538348, 0.00942893, 0.0139361, 0.0248142, 0.0441311, 0.0282261, 0.0448196, 0.0250072, 0.0424518, 0.0579175, 0.0252849, 0.0431927, 0.0882333, 0.0273479, 0.0148816, 0.054489, 0.0344575, 0.0555388, 0.0295043, 0.0141884, 0.0433708, 0.0108612, 0.0246507, 0.0385612, 0.0547518, 0.0520461, 0.0299762, 0.012125, 0.0244406, 0.00762445, 0.0143791, 0.0354729, 0.0433528, 0.0266409, 0.0374605, 0.0361104, 0.0122121, 0.0105744, 0.0354484, 0.0267614, 0.0174248, 0.0527301, 0.0356203, 0.0286625, 0.0553504, 0.0335226, 0.00872918, 0.0277101, 0.00917475, 0.00917121, 0.0161079, 0.0345122, 0.0244494, 0.0522231, 0.0350872, 0.0483065, 0.0420761, 0.0230005, 0.0176074, 0.0299958, 0.0377208, 0.0227679, 0.0329158, 0.05631, 0.00833638, 0.0218905, 0.0494703, 0.0198518, 0.0231438, 0.023593, 0.0661566, 0.038674, 0.0392689, 0.0355083, 0.0245619, 0.0467714, 0.0296629, 0.0316814, 0.030857, 0.0601356, 0.051481, 0.015284, 0.0397902, 0.0405328, 0.0657492, 0.0148621, 0.0376426, 0.0224191, 0.025746, 0.0465378, 0.0565562, 0.0755963, 0.0412794, 0.011482, 0.0368996, 0.0181421, 0.0452077, 0.0257549, 0.0184959, 0.0336707, 0.0191526, 0.0181296, 0.0254061, 0.0437041, 0.0393274, 0.0357011, 0.0617962, 0.0491166, 0.0356528, 0.0140722, 0.0108185, 0.0603826, 0.0302038, 0, 0.0183327, 0.0437889, 0.0103333, 0.0248545, 0.0337011, 0.0319308, 0.00960086, 0.00790728, 0.0227717, 0.0367144, 0.0216904, 0, 0.0139637, 0.0423559, 0.00917255, 0.0137021, 0.0201804, 0.0326466, 0.0437484, 0.0125096, 0.0228237, 0.0538165, 0.0457201, 0.0265168, 0.0105634, 0.0532924, 0.0328838, 0.0295314, 0.0261052, 0.0254328, 0.0427891, 0.0245437, 0.0400643, 0.0275537, 0.0329463, 0.00578891, 0.0361053, 0.0248976, 0.0412103, 0.0497927, 0.0220573, 0.0335396, 0.00832378, 0.0227698, 0.0655431, 0.0340686, 0.0351647, 0.0495547, 0.00991622, 0.0367433, 0.024727, 0.0288451, 0.0407752, 0.0201598, 0.00730288, 0.0629493, 0.041176, 0.00659922, 0.010571, 0.0430425, 0.0361972, 0.0105814, 0.00881685, 0.0331062, 0.0410268, 0.0448064, 0.0164806, 0.0450854, 0.066607, 0.0301562, 0.0355726, 0.00993274, 0.0518415, 0.0408681, 0.025117, 0.06117, 0.0291352, 0.0383872, 0.0437801, 0.0260468, 0.0412009, 0.0271381, 0.0184738, 0.0566246, 0.00931561, 0.0156248, 0.0320238, 0.0498895, 0.0433313, 0.0285696, 0.0110941, 0.0191771, 0.0227299, 0.0527952, 0.0291127, 0.0611088, 0.0441706, 0.0293609, 0.0328691, 0.0249228, 0.0482363, 0.0327491, 0.0589983, 0.0351796, 0.0127173, 0.0280201, 0.0501502, 0.00712159, 0.0247165, 0.02558, 0.0152475, 0.0319955, 0.0376194, 0.0444962, 0.0120044, 0.0189493, 0.0206517, 0.0215054, 0.0312413, 0.0201741, 0.0358299, 0.0200988, 0.0128104, 0.043482, 0.0575675, 0.0372694, 0.0116863, 0.037894, 0.04899, 0.0386529, 0.0183509, 0.0566465, 0.0412821, 0.0317339, 0, 0.0474118, 0.0520547, 0.0698446, 0.0421223, 0.056018, 0.0443538, 0.034195, 0.0195324, 0.0182624, 0.0381798, 0.0179922, 0.025671, 0.0522157, 0.0229054, 0.0334337, 0.034468, 0.0524691, 0.043316, 0.00999105, 0.0431224, 0.0120275, 0.0150098, 0.0407214, 0.035945, 0.0106999, 0.0368189, 0.0369366, 0.0481075, 0.0082459, 0.0492941, 0.0368364, 0.0366715, 0.0237788, 0.0323871, 0.0420118, 0.036012, 0.0354095, 0.0368403, 0.0573272, 0.00608704, 0.00612677, 0.00862712, 0.0365151, 0.0512613, 0.00723686, 0.0385387, 0.00794037, 0.044844, 0.0177656, 0.0166065, 0.0219794, 0.0566393, 0.02662, 0.0129895, 0.024467, 0.0219111, 0.0604006, 0.0322736, 0.0450704, 0.0134274, 0.0586399, 0.0445432, 0.0188186, 0.0506041, 0.0347211, 0.0117324, 0.0138827, 0.0118857, 0.0397638, 0.027841, 0.0440882, 0.0358767, 0.0718549, 0.0462873, 0.0290696, 0.0261447, 0.00667168, 0.0235893, 0.0318686, 0.0333655, 0.0413238, 0.0343309, 0.0267179, 0.0122817, 0.027523, 0.00361301, 0.0443857, 0.0185715, 0.0365481, 0.0548534, 0.015876, 0.058322, 0.0365231, 0.044172, 0.0421415, 0.0565254, 0.042716, 0.0122431, 0.0322676, 0.0244919, 0.0206445, 0.0365378, 0.036015, 0.0121572, 0.0119983, 0.0284549, 0.030654, 0.022134, 0.02665, 0.0475936, 0.0490022, 0.0696336, 0.0365996, 0.0121613, 0.00852698, 0.00502013, 0.0351641, 0.0452617, 0.0524108, 0.0148012, 0.0376509, 0.0257576, 0.0433182, 0.0270024, 0.0213187, 0.0293253, 0.0441292, 0.0148037, 0.0594782, 0.00792983, 0.00747623, 0, 0.0572251, 0.0460837, 0.0171065, 0.0255292, 0.0278795, 0.0880654, 0.0140944, 0.0299039, 0.0069328, 0.0491991, 0.0552007, 0.0409643, 0.0447348, 0.0259558, 0.032721, 0.0446662, 0.0198343, 0.0167537, 0.00821148, 0.0334049, 0.0193167, 0.0181065, 0.0248537, 0.0420409, 0.0537371, 0.0285818, 0.0105776, 0.0284175, 0.028903, 0.00711433, 0.0580629, 0.0162366, 0.0267474, 0.0231921, 0.0122633, 0.040926, 0.00656688, 0.0339795, 0.0351567, 0.0605177, 0.00656697, 0.0479518, 0.0254645, 0.0148004, 0.0352453, 0.076814, 0.0237676, 0.0412335, 0.0257003, 0.0351592, 0.0441249, 0.0251349, 0.00854279, 0.0301504, 0.0189917, 0.028298, 0.0540324, 0.0418937, 0.0157106, 0.0471014, 0.0383429, 0.057318, 0.0591805, 0.0351569, 0.0447265, 0.0285097, 0.00741011, 0.0609153, 0.028391, 0.0109374, 0.0337263, 0, 0.0338053, 0.0440797, 0.00796554, 0.0295247, 0.0242979, 0.0168021, 0.0267591, 0.0483124, 0.011857, 0.0305016, 0.0109164, 0.044065, 0.0263953, 0.0343889, 0.0387565, 0.0304418, 0.0529771, 0.0297162, 0.0192186, 0.0333971, 0.0428185, 0.0497967, 0.0306506, 0.0174634, 0.0409694, 0.0337777, 0.0583684, 0.026346, 0.0137088, 0.062069, 0.0170687, 0.0392312, 0.0519985, 0.0220998, 0.0452359, 0.0229607, 0.0228938, 0.0355628, 0.0276024, 0.0140411, 0.0405774, 0.0306667, 0.0333619, 0.0487852, 0.0288624, 0.0197507, 0.0412161, 0.0198649, 0.0171853, 0.0274988, 0, 0.0286478, 0, 0.0227156, 0.0398633, 0.0365539, 0.0513563, 0.0188175, 0.0461533, 0.0173392, 0.0187581, 0.0315955, 0.0434574, 0.0400004, 0.0300571, 0.0146029, 0.0325984, 0.0543395, 0.0411703, 0.0615173, 0.0252905, 0.0105196, 0.0526567, 0.0166397, 0.03989, 0.0183745, 0.0256224, 0.00787693, 0.0332058, 0.0360589, 0.0445832, 0.0277488, 0.0642382, 0.00706443, 0.0155599, 0.0434086, 0.0241945, 0.0113116, 0.0480626, 0.00819808, 0.0254447, 0.0454305, 0.00987358, 0.0268934, 0.011273, 0.0328697, 0.0612153, 0.0426259, 0.0238222, 0.0198656, 0.0250541, 0.0187642, 0.0372521, 0.0564541, 0.021759, 0.0503964, 0.032814, 0.0195839, 0.032388, 0.0307058, 0.0565691, 0.0479017, 0.0518404, 0.0418368, 0.0556362, 0.0266783, 0.0319654, 0.0382124, 0.048955, 0.026121, 0.0394289, 0.0598606, 0.0467994, 0.0152363, 0.0172749, 0.0115223, 0.0289827, 0.0435019, 0.0212496, 0.00517583, 0.0479977, 0.0555888, 0.0221187, 0.0509932, 0.0364436, 0.0151191, 0.0588456, 0.0706197, 0.0205247, 0.053761, 0.00554762, 0.0508533, 0.0452843, 0.0293022, 0.0164647, 0.02517, 0.0432449, 0.0188108, 0.038882, 0.0475117, 0.0543782, 0.0256494, 0.0431691, 0.0408242, 0.0527502, 0.0477905, 0.0306759, 0.0308216, 0.0122568, 0.0191436, 0.0327205, 0.0281127, 0.0243364, 0.0476733, 0.0380468, 0.0196707, 0.00997476, 0.0149574, 0.0269905, 0.0278859, 0.00956562, 0.0544113, 0.0485504, 0.0123725, 0.0453893, 0.0344256, 0.0443156, 0.0153979, 0.0416628, 0.0288393, 0.0412827, 0.018514, 0.00831151, 0.0165862, 0.0171607, 0.0359472, 0.00748995, 0.0414525, 0.0185568, 0.0297937, 0.0167787, 0.0197546, 0.0226418, 0.0340239, 0.0316826, 0.0296167, 0.0390582, 0.0236115, 0.00768844, 0.0380103, 0.00870768, 0.0539402, 0.0388962, 0, 0.0198184, 0.0536047, 0.0300895, 0.0436521, 0.00878243, 0.0718974, 0.051063, 0.0269258, 0.0446268, 0.0163818, 0.0538256, 0.0376676, 0.0430062, 0.00952076, 0, 0.0192099, 0.0200171, 0.0469752, 0.0434031, 0.050603, 0.0354218, 0.0060623, 0.0354488, 0.0665635, 0.0272633, 0.0219369, 0.0610532, 0.0402734, 0.0574816, 0.0708468, 0.026197, 0.00922674, 0.0273739, 0.0518667, 0.0226884, 0.0492522, 0.0495496, 0.0304658, 0.0194387, 0.0412701, 0.0428167, 0.00903134, 0.0334653, 0.056251, 0.0331576, 0.0372816, 0.0502052, 0.0248341, 0.0522285, 0.048144, 0.025704, 0.0353238, 0.0449415, 0.0393733, 0.0607438, 0.0138144, 0.0443407, 0.0202513, 0.0214542, 0.025306, 0.0351645, 0.0277926, 0.0162752, 0.0814366, 0.027937, 0.0268138, 0.0111056, 0.0621537, 0.0556601, 0.0702965, 0.0399137, 0.0361523, 0.0484344, 0.00498926, 0.064083, 0.0448636, 0.015491, 0.0414915, 0.0318148, 0.0455047, 0.0222143, 0.0330392, 0.0178075, 0.0203319, 0.0503839, 0.0211412, 0.0134802, 0.0288189, 0.0222771, 0.0183485, 0.00929477, 0.0283138, 0.00908992, 0.0249818, 0.00762705, 0.0207359, 0.0437829, 0, 0.0125785, 0.0347449, 0.0376593, 0.0527323, 0.0258557, 0.0321161, 0.0370491, 0.0232884, 0.0202483, 0.0185397, 0.025184, 0.00276358, 0.0250217, 0.0145006, 0.0170359, 0.0361984, 0.0287854, 0.0518448, 0.00958097, 0.053662, 0.0533988, 0.0760623, 0.0379665, 0.0175593, 0.0239104, 0.0513558, 0.027339, 0.0278417, 0.014735, 0.0466318, 0.0284929, 0.0145842, 0.0228569, 0.0167689, 0.0537935, 0.0406495, 0.0148295, 0.00559019, 0.0292607, 0.0517152, 0.0596504, 0.0328837, 0.0511087, 0.0271974, 0.048068, 0.0475799, 0.0497155, 0.0421113, 0.0438995, 0.0490349, 0.0314382, 0.0611979, 0.0346435, 0.0437788, 0.0348369, 0.0090056, 0.0334313, 0.0289411, 0.043142, 0.0503443, 0.011867, 0.0386264, 0.0540396, 0.0189857, 0.0342469, 0.0351835, 0.0278514, 0.0271003, 0.018019, 0.0141177, 0.0340787, 0.0298785, 0.0335874, 0.0436862, 0.0264675, 0.017564, 0.00895096, 0.0155477, 0.0354493, 0.0384559, 0.0486101, 0.023962, 0.0055796, 0.0329459, 0.0145059, 0.0277158, 0.0334067, 0.0397761, 0.0243851, 0, 0.023044, 0.00969776, 0.0298031, 0.0574105, 0.0345062, 0.040442, 0.0522125, 0.0178249, 0.0256523, 0.0349206, 0.0136908, 0.0301519, 0.0263869, 0.0378666, 0.0525397, 0.0344076, 0.0546501, 0.0337103, 0.0147628, 0.0426769, 0.0372194, 0.0200161, 0.00630714, 0.023451, 0.0634622, 0.0263057, 0.0177121, 0.0449318, 0.060301, 0.0413897, 0.0469296, 0.0269644, 0.0066086, 0.0225728, 0.0279106, 0.0439211, 0.0455694, 0.00474239, 0.0111225, 0.0204035, 0.0166517, 0.0338762, 0.0211078, 0.0282795, 0.0264419, 0.0244502, 0.0550348, 0.0531025, 0, 0.0386295, 0.0504552, 0.0480259, 0.0345436, 0.0468164, 0.0291464, 0.0391088, 0.027695, 0.00973983, 0.0572315, 0.0095636, 0.0450275, 0.0161107, 0.0120766, 0.061446, 0.036466, 0.0279406, 0.0305227, 0.0231619, 0.0200998, 0.0276934, 0.0130655, 0.0404543, 0.0502746, 0.0504186, 0.0176616, 0.0279928, 0.0116822, 0.0744025, 0.0326265, 0.0279797, 0.0279114, 0.00872366, 0.0285005, 0.0104207, 0.00543353, 0.0315805, 0.015514, 0, 0.0207369, 0.0258677, 0.052048, 0.025853, 0.0417695, 0.00976553, 0.0182861, 0.0214, 0.0596818, 0.0238539, 0.0226224, 0.0441506, 0.0382869, 0.0392434, 0.0350375, 0.0738037, 0.021701, 0.00750489, 0.0181535, 0, 0.0255412, 0.0226194, 0.00594911, 0.0120064, 0.030657, 0.0296192, 0.0684029, 0.0174144, 0, 0.0339202, 0.0377945, 0.0180661, 0.0453241, 0.0354254, 0.0184901, 0.0305219, 0.0325546, 0.0193759, 0.0186265, 0.0208263, 0.0178318, 0.0065211, 0.0406291, 0.0125027, 0.0518027, 0.0237587, 0.0481354, 0.0449575, 0.0468631, 0.0163772, 0.0327453, 0, 0.052499, 0.00860055, 0.0102347, 0.058266, 0.0485368, 0.00899564, 0.00935801, 0.0468708, 0.0149594, 0.0511343, 0.0391697, 0.0288005, 0.0463902, 0.0432188, 0.0421893, 0.0347527, 0.0379537, 0.0170077, 0.0193131, 0.0184164, 0.0156028, 0.0653762, 0.0410626, 0.0267937, 0.0441704]
	Time	[0]
	TimeBench	[0]
	TimeInit	[0]
	TimeMaps	[0]
StatsWithFlip:
